,db_id,original_sql
0,esophageal,"SELECT patients.patient_id, demographics.gender, clinical_status.person_neoplasm_cancer_status, COUNT(clinical_status.person_neoplasm_cancer_status) AS cancer_status_count FROM patients JOIN clinical_status ON patients.patient_id = clinical_status.patient_id JOIN demographics ON patients.patient_id = demographics.patient_id WHERE informed_consent_verified = TRUE AND clinical_status.person_neoplasm_cancer_status = 'With tumor' GROUP BY patients.patient_id, demographics.gender, clinical_status.person_neoplasm_cancer_status ORDER BY patients.patient_id;"
1,toxicology,"SELECT * FROM connected LEFT JOIN atom ON connected.atom_id2 = atom.atom_id WHERE atom.element = 'barium' AND atom.molecule_id LIKE 'ALKALINE%'"
2,formula_1,"SELECT raceid, name AS modal_name FROM (SELECT raceid, name, COUNT(*) AS freq, MIN(raceid) AS first_occurrence, ROW_NUMBER() OVER (PARTITION BY raceid ORDER BY COUNT(*) DESC, MIN(raceid) ASC) AS rn FROM races GROUP BY raceid, name) sub WHERE rn = 1 ORDER BY raceid;"
3,financial,"SELECT c.client_id, c.gender, c.birth_date FROM client c JOIN disp d ON c.client_id = d.client_id WHERE c.district_id BETWEEN 240 AND 250 AND d.type = 'OWNER' LIMIT 1500;"
4,california_schools,"SELECT s.district, sa.avgscrread, sa.avgscrmath, sa.numge1500 FROM schools AS s INNER JOIN satscores AS sa ON s.cdscode = sa.cds WHERE s.county = 'San Diego' AND sa.rtype = 'D' ORDER BY sa.avgscrread ASC LIMIT 4;"
5,european_football_2,"SELECT t.team_long_name, t.team_short_name, ta.buildupplaypassing, ta.buildupplaypassingclass, ta.chancecreationshooting, ta.chancecreationshootingclass, ta.defenceaggression, ta.defenceaggressionclass FROM team t INNER JOIN team_attributes ta ON t.team_api_id = ta.team_api_id WHERE ta.date = '2017-08-22 00:00:00'"
6,formula_1,"SELECT RACEID, MAX(CASE WHEN POSITIONORDER = 1 THEN DRIVERID END) AS WINNER, MAX(CASE WHEN POSITIONORDER = 2 THEN DRIVERID END) AS RUNNER_UP, MAX(CASE WHEN POSITIONORDER = 3 THEN DRIVERID END) AS THIRD_PLACE FROM results WHERE POSITIONORDER <= 3 AND LAPS BETWEEN 10 AND 20 AND POINTS > 10 GROUP BY RACEID"
7,student_club,"SELECT link_to_member, SUM(hours) AS total_volunteer_hours FROM attendance JOIN member ON attendance.link_to_member = member.member_id WHERE hours >= 3 AND member.position = 'Volunteer' AND member.zip BETWEEN 30000 AND 60000 GROUP BY link_to_member"
8,toxicology,"SELECT * FROM connected LEFT JOIN atom ON connected.atom_id = atom.atom_id WHERE atom.element = 'germanium' AND atom.molecule_id LIKE 'SEMICONDUCTOR%'"
9,student_club,"SELECT e.event_name, SUM(b.spent) AS total_expenses FROM event e LEFT JOIN budget b ON e.event_id = b.link_to_event WHERE e.event_date BETWEEN '2023-10-01' AND '2024-03-31' AND e.type = 'Seminar' GROUP BY e.event_name HAVING SUM(b.spent) > 2000 ORDER BY total_expenses DESC LIMIT 4"
