,db_id,original_sql,rewritten_sql_gpt,activated_rules_gpt,prompt_sql_similar,prompt_rules_similar
0,job,"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id>2 AND t.production_year>2010 AND mi_idx.info_type_id=99;",SELECT * FROM (SELECT * FROM title WHERE kind_id > 2 AND production_year > 2010) AS t INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 99) AS t0 ON t.id = t0.movie_id,"['FILTER_MERGE', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",['SELECT * FROM movie_keyword mk WHERE mk.keyword_id=55096;'],"[""['FILTER_INTO_JOIN']""]"
1,job,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id<45851 AND mi.info_type_id=16;","SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND mc.company_id<45851 AND mi.info_type_id=16",[],['SELECT * FROM movie_keyword mk WHERE mk.keyword_id=74754;'],"[""['Empty List']""]"
2,job,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id<1798117 AND ci.role_id>1 AND mi_idx.info_type_id=101;",SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1798117 AND role_id > 1) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 101) AS t0 ON title.id = t0.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year>1958;']","[""['FILTER_INTO_JOIN']""]"
3,job,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<1996 AND mi.info_type_id=3;","SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year<1996 AND mi.info_type_id=3",[],['SELECT * FROM movie_keyword mk WHERE mk.keyword_id>46847;'],"[""['Empty List']""]"
4,job,"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.production_year<2009 AND ci.role_id=6;",SELECT * FROM (SELECT * FROM title WHERE production_year < 2009) AS t INNER JOIN (SELECT * FROM cast_info WHERE role_id = 6) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info ON t.id = movie_info.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2869415 AND ci.role_id>9 AND mk.keyword_id<2980;']","[""['FILTER_INTO_JOIN']""]"
5,job,"SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year=1992 AND ci.person_id<3750295;",SELECT * FROM (SELECT * FROM title WHERE production_year = 1992) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 3750295) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],"['SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND ci.person_id<3433871 AND ci.role_id>10;']","[""['FILTER_INTO_JOIN']""]"
6,job,SELECT * FROM cast_info ci WHERE ci.person_id>2583195 AND ci.role_id=3;,SELECT * FROM cast_info ci WHERE ci.person_id>2583195 AND ci.role_id=3,[],['SELECT * FROM cast_info ci WHERE ci.person_id<3482159 AND ci.role_id>1;'],"[""['Empty List']""]"
7,job,"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>11145 AND mc.company_type_id=1;",SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 11145 AND company_type_id = 1) AS t ON title.id = t.movie_id,"['JOIN_CONDITION_PUSH', 'FILTER_INTO_JOIN']",['SELECT * FROM cast_info ci WHERE ci.person_id>383938 AND ci.role_id<4;'],"[""['FILTER_INTO_JOIN']""]"
8,job,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=3 AND t.production_year=1997 AND ci.person_id>386835 AND ci.role_id=1;","SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id=3 AND t.production_year=1997 AND ci.person_id>386835 AND ci.role_id=1",[],"['SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=2003 AND ci.role_id>3;']","[""['Empty List']""]"
9,job,"SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=2008 AND mi_idx.info_type_id<100;","SELECT * FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id=7 AND t.production_year=2008 AND mi_idx.info_type_id<100",[],"['SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<4 AND t.production_year>2008 AND mk.keyword_id>48982;']","[""['Empty List']""]"
